rank,name,bundesland,bezirk,population_2024,website
28,Spittal an der Drau,Kärnten,Spittal an der Drau,15269,http://www.spittal-drau.at
29,Bludenz,Vorarlberg,Bludenz,15139,http://www.bludenz.at
30,Perchtoldsdorf,Niederösterreich,Mödling,14909,http://www.perchtoldsdorf.at
31,Hall in Tirol,Tirol,Innsbruck-Land,14755,https://www.hall-in-tirol.at
32,Ternitz,Niederösterreich,Neunkirchen,14753,http://www.ternitz.gv.at
33,Wörgl,Tirol,Kufstein,14487,https://www.woergl.at
34,Feldkirchen in Kärnten,Kärnten,Feldkirchen,14427,https://www.feldkirchen-kaernten.gv.at
35,Schwaz,Tirol,Schwaz,14394,http://www.schwaz.gv.at
36,Bad Ischl,Oberösterreich,Gmunden,14170,https://www.bad-ischl.ooe.gv.at
37,Hard,Vorarlberg,Bregenz,13787,https://www.hard.at
38,Korneuburg,Niederösterreich,Korneuburg,13719,http://www.korneuburg.gv.at
39,Feldbach,Steiermark,Südoststeiermark,13515,http://www.feldbach.gv.at
40,Leibnitz,Steiermark,Leibnitz,13362,https://www.leibnitz.at
41,Knittelfeld,Steiermark,Murtal,12719,http://www.knittelfeld.gv.at
42,Bad Vöslau,Niederösterreich,Baden,12442,http://www.bad-voeslau.gv.at
43,Enns,Oberösterreich,Linz-Land,12265,http://www.enns.at
44,St. Veit an der Glan,Kärnten,St. Veit an der Glan,12264,https://www.sv.or.at
45,Seiersberg-Pirka,Steiermark,Graz-Umgebung,12258,http://www.seiersberg-pirka.gv.at
46,Götzis,Vorarlberg,Feldkirch,12231,http://www.goetzis.at
47,Lienz,Tirol,Lienz,12039,http://www.lienz.gv.at
48,Mistelbach,Niederösterreich,Mistelbach,12036,http://www.mistelbach.gv.at
49,Strasshof an der Nordbahn,Niederösterreich,Gänserndorf,12006,http://www.strasshof-nordbahn.gv.at
50,Weiz,Steiermark,Weiz,11993,https://www.weiz.at
51,Gerasdorf bei Wien,Niederösterreich,Korneuburg,11931,http://www.gerasdorf.at
52,Gleisdorf,Steiermark,Weiz,11525,https://www.gleisdorf.at
53,Waidhofen an der Ybbs,Niederösterreich,Waidhofen/Ybbs,11124,http://www.waidhofen-ybbs.gv.at
54,Trofaiach,Steiermark,Leoben,11007,http://www.trofaiach.gv.at
55,Völkermarkt,Kärnten,Völkermarkt,10956,https://www.voelkermarkt.gv.at
56,Altmünster,Oberösterreich,Gmunden,10076,http://www.altmuenster.at
57,Purkersdorf,Niederösterreich,St. Pölten (Land),9959,http://www.purkersdorf.gv.at
58,St. Johann in Tirol,Tirol,Kitzbühel,9875,https://www.st.johann.tirol
59,Laakirchen,Oberösterreich,Gmunden,9733,http://www.laakirchen.at
60,Judenburg,Steiermark,Murtal,9691,http://www.judenburg.gv.at
61,Wiener Neudorf,Niederösterreich,Mödling,9628,http://www.wiener-neudorf.gv.at
62,Voitsberg,Steiermark,Voitsberg,9617,http://www.voitsberg.gv.at
63,Köflach,Steiermark,Voitsberg,9601,http://www.koeflach.at
64,Perg,Oberösterreich,Perg,9459,http://www.perg.at
65,Finkenstein am Faaker See,Kärnten,Villach-Land,9402,http://www.finkenstein.gv.at
66,Guntramsdorf,Niederösterreich,Mödling,9366,http://www.guntramsdorf.at
67,St. Valentin,Niederösterreich,Amstetten,9327,http://www.st-valentin.gv.at
68,Neusiedl am See,Burgenland,Neusiedl am See,8945,https://www.neusiedlamsee.at/gemeinde
69,Fürstenfeld,Steiermark,Hartberg-Fürstenfeld,8902,https://www.fuerstenfeld.gv.at
70,Maria Enzersdorf,Niederösterreich,Mödling,8791,http://www.maria-enzersdorf.gv.at
71,Kalsdorf bei Graz,Steiermark,Graz-Umgebung,8662,http://www.kalsdorfbeigraz.at
72,Stainz,Steiermark,Deutschlandsberg,8656,http://www.stainz.gv.at
73,Kindberg,Steiermark,Bruck-Mürzzuschlag,8399,http://www.kindberg.gv.at
74,Gratkorn,Steiermark,Graz-Umgebung,8310,https://www.gratkorn.gv.at
75,Liezen,Steiermark,Liezen,8211,https://www.liezen.at
76,Himberg,Niederösterreich,Bruck/Leitha,8192,http://www.himberg.gv.at
77,Wattens,Tirol,Innsbruck-Land,8113,https://www.hall-wattens.at
78,Oberwart,Burgenland,Oberwart,8019,http://www.oberwart.gv.at
79,Herzogenburg,Niederösterreich,St. Pölten (Land),7963,http://www.herzogenburg.gv.at
80,Mürzzuschlag,Steiermark,Bruck-Mürzzuschlag,7919,http://www.muerzzuschlag.gv.at
81,Vorchdorf,Oberösterreich,Gmunden,7769,http://www.vorchdorf.at
82,Pottendorf,Niederösterreich,Baden,7681,http://www.pottendorf.gv.at
83,Jenbach,Tirol,Schwaz,7600,http://www.jenbach.at
84,Fohnsdorf,Steiermark,Murtal,7585,http://www.fohnsdorf.at
85,Mattersburg,Burgenland,Mattersburg,7527,http://www.mattersburg.gv.at
86,Langenlois,Niederösterreich,Krems (Land),7490,http://www.langenlois.gv.at
87,Grödig,Salzburg,Salzburg-Umgebung,7385,http://www.groedig.gv.at
88,Hitzendorf,Steiermark,Graz-Umgebung,7360,http://www.hitzendorf.gv.at
89,Feldkirchen bei Graz,Steiermark,Graz-Umgebung,7287,https://www.feldkirchen-graz.at
90,Eggersdorf bei Graz,Steiermark,Graz-Umgebung,7243,http://www.eggersdorf.at
91,Arnoldstein,Kärnten,Villach-Land,7143,http://www.arnoldstein.gv.at
92,Zeltweg,Steiermark,Murtal,7076,http://www.zeltweg.gv.at
93,Kremsmünster,Oberösterreich,Kirchdorf/Krems,7060,http://www.kremsmuenster.gv.at
94,Asten,Oberösterreich,Linz-Land,7058,http://www.asten.at
95,Hainburg a.d. Donau,Niederösterreich,Bruck/Leitha,7033,http://www.hainburg.at
96,Altach,Vorarlberg,Feldkirch,6999,http://www.altach.at
97,Seeboden am Millstätter See,Kärnten,Spittal an der Drau,6722,https://www.seeboden.at
98,Hartberg,Steiermark,Hartberg-Fürstenfeld,6713,http://www.hartberg.at
99,Bad Hofgastein,Salzburg,St. Johann/Pongau,6703,http://www.badhofgastein.salzburg.at
100,Gallneukirchen,Oberösterreich,Urfahr-Umgebung,6689,http://www.gallneukirchen.at
101,Frastanz,Vorarlberg,Feldkirch,6669,http://www.frastanz.at
102,Lochau,Vorarlberg,Bregenz,6645,http://www.lochau.at
103,Schladming,Steiermark,Liezen,6548,https://gemeinde.schladming.at
